G-truth    | Predict    | Edited     | Image path                                                       
Long       | long       | long       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_1_4.png        
Khó        | khó        | khó        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_2_9.png        
gợi        | gọi        | gọi        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_2_13.png       
nói        | rói        | rói        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_3_0.png        
làm        | càm        | càm        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_3_3.png        
Ông        | ông        | ông        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_3_9.png        
lận        | Lận        | Lận        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_4_8.png        
nhà        | Nhà        | Nhà        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_4_15.png       
gòn        | gàn        | gàn        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_5_2.png        
Tám        | Tàm        | Tàm        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_5_10.png       
lá         | lác        | lác        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_5_0.png        
On         | on         | on         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_5_11.png       
khó        | chó        | chó        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_6_0.png        
để         | đê         | đê         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_0_13.png       
sống       | sóng       | sóng       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_3_15.png       
cái        | cài        | cài        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_3_11.png       
cái        | cài        | cài        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_3_17.png       
khoảng     | Khoảng     | Khoảng     | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_1_9.png        
2000       | 200        | 200        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_1_14.png       
giúp       | giáp       | giáp       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_2_8.png        
ông        | vông       | vông       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_6_3.png        
tìm        | tìn        | tìn        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_6_6.png        
bán        | bàn        | bàn        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_0_9.png        
mù         | mùi        | mùi        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_0_7.png        
số         | sớ         | sớ         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_0_11.png       
bán        | bàn        | bàn        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_2_16.png       
