G-truth    | Predict    | Edited     | Image path                                                       
On         | 0n         | an         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_0_14.png       
ở          | ởi         | đi         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_0_20.png       
niệm       | việm       | viện       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_3_11.png       
của        | củai       | chai       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_1_18.png       
31         | 9S         | 90         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_0_1.png        
gánh       | giánh      | gianh      | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_1_4_10.png       
On         | 0n         | an         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_6_5.png        
hiểu       | niểu       | điểu       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_2_6_7.png        
hiếu       | hiều       | điều       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_2_7.png        
mù         | mùc        | mức        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_2_2.png        
On         | onN        | ong        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_0_1_3.png        
hết        | hiết       | tiết       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_0_3_4.png        
hứa        | hừa        | vừa        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_2_2_8.png        
rủ         | rư         | ra         | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_2_5_8.png        
cháu       | chàu       | chịu       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_3_1_13.png       
ở          | ởi         | đi         | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_4_0_1.png        
mà         | vìa        | vừa        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_4_3_21.png       
bí         | bìn        | bện        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_4_4_11.png       
quần       | giần       | gian       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_5_1_2.png        
bõm        | bòm        | bám        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_5_1_14.png       
Sáu        | Sàu        | Màu        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_5_6_15.png       
vì         | vìn        | vẫn        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_6_4_4.png        
sự         | vự         | và         | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_6_6_9.png        
một        | ột         | ít         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_1_9.png        
Ủy         | củy        | của        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_0_20.png       
mới        | nưới       | nước       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_4_16.png       
qua        | quìn       | quan       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_4_17.png       
đứa        | đía        | đưa        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_1_12.png       
đứa        | đía        | đưa        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_6_3.png        
khủng      | khủy       | thủy       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_2_7_1.png        
đã         | điễ        | đin        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_4_6.png        
đắn        | đăn        | đến        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_6_8.png        
khác       | khức       | chức       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_7_0.png        
Ủy         | ởy         | ty         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_5_0_7.png        
ruồng      | ruống      | muống      | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_0_2.png        
cúi        | cúu        | cầu        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_2_5.png        
ra         | raV        | ran        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_1_3.png        
Nghẹn      | Nghụ       | Phụ        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_5_4.png        
đứa        | đía        | đưa        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_5_15.png       
bà         | bằa        | bữa        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_1_11.png       
nhiễm      | nhẫm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_3_3.png        
nhiễm      | nhữm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_5_12.png       
nhiễm      | nhiểm      | thiểm      | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_0_7.png        
đứa        | đía        | đưa        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_5_9.png        
ét         | ét         | ít         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_0_9.png        
trùm       | trìm       | trăm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_1_2.png        
lúc        | lué        | lui        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_1_16.png       
nhiễm      | nhưm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_5_1.png        
Nẵng       | Nỗng       | Bỗng       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_3_3_3.png        
bàn        | bàm        | làm        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_3_3_4.png        
virus      | vrính      | trính      | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_0_14.png       
vẫn        | Nỗn        | Hỗn        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_1_0.png        
khấu       | nhấu       | nhất       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_2_3.png        
lưỡi       | hưới       | dưới       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_3_9.png        
thiết      | thứt       | thất       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_6_1.png        
nhiễm      | nhẫm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_0_7.png        
vì         | vìng       | văng       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_0_10.png       
nhiễm      | nhữm       | nhậm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_2_0.png        
dắt        | dít        | dứt        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_3_4.png        
