G-truth    | Predict    | Edited     | Image path                                                       
1          | 101        | 101        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_0_1_0.png        
ơn         | con        | con        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_3_7_1.png        
4          | lựa        | lựa        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_4_1_15.png       
m          | ng         | ng         | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_4_1_20.png       
giá        | giữa       | giữa       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_4_3_11.png       
5          | sang       | sang       | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_4_3_16.png       
lưng       | lưa        | lưa        | ./data/VNOnDB/word_test/20151208_0146_7105_1_tg_4_5_11.png       
đầu        | điều       | điều       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_0_0_13.png       
chủ        | dư         | dư         | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_1_3_10.png       
1          | trì        | trì        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_1_6_10.png       
kịp        | kiệp       | kiệp       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_2_1_14.png       
1          | một        | một        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_2_4_4.png        
gồm        | gần        | gần        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_2_6_5.png        
Khi        | rai        | rai        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_3_1_3.png        
Thành      | vình       | vình       | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_4_1_14.png       
trai       | mai        | mai        | ./data/VNOnDB/word_test/20151208_0146_7105_2_tg_5_5_1.png        
kỳ         | bì         | bì         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_0_3.png        
đưa        | ra         | ra         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_1_7.png        
ra         | m          | m          | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_1_8.png        
lan        | tau        | tau        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_0_3_7.png        
ra         | van        | van        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_0_5.png        
nhà        | và         | và         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_1_0.png        
AIDS       | A5P        | A5P        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_3_12.png       
lây        | lông       | lông       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_1_6_0.png        
AIDS       | A5D        | A5D        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_2_1_12.png       
kỳ         | là         | là         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_2_0_9.png        
và         | văn        | văn        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_2_0_11.png       
êkip       | êềp        | êềp        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_2_6_4.png        
hi         | huy        | huy        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_0_11.png       
khỏe       | khoả       | khoả       | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_1_9.png        
rộn        | vận        | vận        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_3_0.png        
HIV        | HT         | HT         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_3_6_5.png        
nhiễm      | nhiều      | nhiều      | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_4_3_18.png       
HIV        | HẤT        | HẤT        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_4_4_0.png        
AIDS       | A5D        | A5D        | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_5_0_11.png       
kỳ         | là         | là         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_4_6_8.png        
ì          | là         | là         | ./data/VNOnDB/word_test/20151209_0143_7398_3_tg_5_3_10.png       
tòa        | toà        | toà        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_1_11.png       
bà         | bời        | bời        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_0_18.png       
rõ         | sẽ         | sẽ         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_0_2_17.png       
bị         | bội        | bội        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_3_2.png        
HIV        | HT         | HT         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_3_4.png        
nhiều      | nhầu       | nhầu       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_5_15.png       
HIV        | HT         | HT         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_1_5_13.png       
ĩ          | TP         | TP         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_4_13.png       
lây        | láng       | láng       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_2_5_15.png       
nhiễm      | nhăm       | nhăm       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_3_3_11.png       
Hiệp       | thập       | thập       | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_3_2_5.png        
HIV        | HT         | HT         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_3_3_12.png       
HIV        | tTV        | tTV        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_1_4.png        
kể         | hế         | hế         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_0_7.png        
ở          | la         | la         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_1_5.png        
bảo        | bên        | bên        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_4_5_12.png       
HIV        | HT         | HT         | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_0_8.png        
bệnh       | buy        | buy        | ./data/VNOnDB/word_test/20151209_0144_7398_1_tg_5_2_1.png        
nữ         | nhĩ        | nhĩ        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_0_2.png        
đứa        | đười       | đười       | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_0_16.png       
mồ         | mỗi        | mỗi        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_1_0.png        
du         | chi        | chi        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_3_4.png        
du         | chu        | chu        | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_3_11.png       
khách      | chánh      | chánh      | ./data/VNOnDB/word_test/20151209_0144_7398_2_tg_0_4_8.png        
